상태,업체명,설립,매출,수주확률,예상수주액,경로,제품/서비스,개요
수주확정,미례국밥,미상,미확인,100%,"50,000,000",지인추천(장채연),돼지우동 특화 국밥집,"가맹 준비 중, 다채널 운영 대비 인력 부족, 온라인 인지도 초기 단계"
수주확정,★슈퍼세이브 (주식회사 승만),22년 추정,미공개,100%,"120,800,000",대표님 인스타,국내산 곰보배추시럽,"CJ온스타일 입점, 인스타 공구 30차+, 공구 채널 의존도 높아 채널 다각화 필요"
수주확정,누프 (NOOFF),24년 추정,미공개,100%,"60,000,000",창업사관학교 18기,염색·탈색 모발 헤어케어,"미니멀 D2C 컨셉, 글로벌 진출 준비 중인 초기 뷰티 브랜드"
협의중(높음),나우아이엠,20~21년 추정,월 1500만 (연 ~1.8억),70%,,청년창업사관학교,"뷰티/라이프스타일 추정","5년째 매출 정체, 히어로 제품 부재, 재구매율 20%이나 CRM 부재"
협의중(높음),오들리컴바인 / 오들리새티스파인,24년 4월,초기,50%,"80,000,000",지인추천(류수현),슬립테크 뷰티·웰니스,"쿠팡·자사몰 중심, 올리브영 입점 예정(25.7), 글로벌 확장 준비"
협의중(높음),★플다 / 집지켜,23년 1월,시드 단계,50%,,메일,전월세 보증금 안전도 리포트,"시드 투자 유치(패스트벤처스 등), 10주 리포트 1만건, B2C 브랜딩 부족"
협의중(높음),★마키노차야,21년 2월 (인수),23년 387억 (YoY+140%),50%,"55,000,000",파트너사(디자인허브),프리미엄 씨푸드 뷔페,"영업이익 35억·ROE 44%, 해운대점 오픈 예정, 가격 인상 후 객수 감소"
협의중(보통),★원봉 / 루헨스,91년,~1400억,30%,,파트너사(디자인허브),정수기 제조·수출,"수출 1위 중견기업(60개국), 국내 B2C 렌탈 인지도 열세, 디지털 마케팅 확장 필요"
협의중(보통),하우잇,미확인,미확인,30%,"36,000,000",고벤처포럼,미확인,"웹 공개 정보 없는 스텔스급 초기 스타트업, 직접 확인 필요"
협의중(보통),프레쉬웨이브 (빌드림),미확인,소규모 추정,20%,"2,000,000",대전창경 강의,미국 천연 탈취 브랜드 수입+국산(디오드),"B2B→B2C 전환 중, 소규모 수주"
협의중(보통),샘스캐빈,미확인,월 1500만 → 3000 목표,30%,,카카오 오픈채널,천연 고체 설거지비누,"소규모 매출 발생 단계, 패키지·포지셔닝 재설계 필요"
미견적,칼리지스 (블록스푼),24년 3월,~1억 (24.9기준),0%,,지인추천(윤태현),블록체인 디지털 배지 SaaS,"1EdTech 인증, 교육기관 20개+ 고객, 공공 입찰 반복 탈락"
미견적,마음미음,미확인,미확인,,,청년창업사관학교,뷰티/스킨케어 추정,"쿠팡/스마트스토어 ROAS 낮음, 재구매율 8.8%, CRM 부재"
미견적,(주)제이엘코스메틱 / 메크쏘울,미확인,미공개 (글로벌90%),,,지인추천(류수현),인디 컬러메이크업,"무신사·화해 입점, 글로벌 매출 비중 높으나 포지셔닝 애매"
미견적,HD현대오일뱅크,64년,~26.7조,,,지인,정유 대기업,"레이싱 스폰서십, 국내/글로벌/레이싱 타겟별 SNS 전략 정비 니즈"
예정,스웨이 Sway,23년 (뉴욕),초기 (25.5 CU런칭),,,인스타그램(@brandrise),보드카 소다 RTD,"한국 최초 하드셀처, CU 전국 출시, 미국 MZ 트렌드 도입"
예정,리솔츠,22년 12월,24년 ~20억,,,HIZ 내부,K-웰니스 뷰티 (천일염),"HIZ 내부 브랜드, 글로벌 확장 준비 중"
예정,페스타,미확인,미확인,,,청년창업사관학교,미확인,동명 다수로 특정 불가
예정,비옴바이로배 / 락토셀,미확인,미확인,,,지인추천,미확인,검색 정보 전무
예정,써머러 (SUMMURER),미확인,미확인,,,창업사관학교 18기,미확인,온라인 노출 전무
예정,그늘아래,미확인,미확인,,,지인추천(우성민 동생),미확인,특정 불가
예정,에센셜리,미확인,미확인,,,카카오 오픈채널,인디 스킨케어,"대전 기반, 자사몰 운영 중"
예정,오르비,미확인,미확인,,,인스타 광고,F&B 추정,브랜드 특정 불가 PENDING
예정,명동식당,미확인,미확인,,,지인추천(우성민 지인),외식업 추정,동명 다수로 특정 불가
